id;user_id;category;description;amount;expense_date;created_at;tenant_id;created_by
32895e9e-a4d5-4ed4-aa01-2ec9e1ba683e;a24f0333-9056-4c23-893b-8acbc1c57ec1;Rent;Shop Rent;45000;2026-06-05;2026-06-18 06:23:05.865065+00;3af5d475-8eaa-4130-a8b5-5253b8f478f8;a24f0333-9056-4c23-893b-8acbc1c57ec1
f0a07c31-76b8-484c-8f9f-af3adc396671;a24f0333-9056-4c23-893b-8acbc1c57ec1;Staff Salary;Shop Maid;2000;2026-06-18;2026-06-18 06:24:05.017423+00;3af5d475-8eaa-4130-a8b5-5253b8f478f8;a24f0333-9056-4c23-893b-8acbc1c57ec1
9d754a70-6d10-4f77-90a9-d19d10636fc7;a24f0333-9056-4c23-893b-8acbc1c57ec1;Electricity;May Month;6724;2026-06-19;2026-06-25 08:24:50.922915+00;3af5d475-8eaa-4130-a8b5-5253b8f478f8;a24f0333-9056-4c23-893b-8acbc1c57ec1
495e3154-c43a-42f5-aa42-736bc3cd96ce;a24f0333-9056-4c23-893b-8acbc1c57ec1;Internet;Airtel Both SIM Recharge;943;2026-06-25;2026-06-25 08:36:40.713918+00;3af5d475-8eaa-4130-a8b5-5253b8f478f8;a24f0333-9056-4c23-893b-8acbc1c57ec1
286a120a-492b-4eda-84ab-66333a2af942;a24f0333-9056-4c23-893b-8acbc1c57ec1;Repairs;Rekha 1 laptop;1500;2026-06-13;2026-06-25 08:37:32.86072+00;3af5d475-8eaa-4130-a8b5-5253b8f478f8;a24f0333-9056-4c23-893b-8acbc1c57ec1
b1dd78d8-5612-4590-a1fa-962872198033;a24f0333-9056-4c23-893b-8acbc1c57ec1;Rent;June month Rent;45000;2026-07-04;2026-07-09 05:54:04.99926+00;3af5d475-8eaa-4130-a8b5-5253b8f478f8;a24f0333-9056-4c23-893b-8acbc1c57ec1
